listing_id,city,neighborhood,property_type,bedrooms,bathrooms,max_guests,price_per_night,amenities,host_rating,superhost,instant_book,min_nights,nearest_transit,transit_walk_min,nearby_attraction_1,nearby_attraction_2
L0113,New York,Upper West Side,Shared room,1,1.0,1,129,Dishwasher; TV; Dryer; Workspace; Kitchen; Air conditioning; Gym access; Pool; Coffee maker; WiFi; Hot tub; Patio,4.96,1,1,2,Times Sq-42nd St,10,Chelsea Market,Empire State Building
L0114,Boston,Beacon Hill,Shared room,1,1.0,2,182,Crib; BBQ grill; Smoke alarm; EV charger; Heating; Iron; TV; Patio; Washer; Air conditioning,4.99,1,1,2,North Station,18,Museum of Fine Arts,Harvard Yard
L0115,San Francisco,Haight-Ashbury,Private room,1,2.0,1,166,Kitchen; Dryer; Gym access; Iron; BBQ grill; Pool; Heating; Workspace; Washer; Crib; Hair dryer; Pet friendly; Dishwasher; Fire extinguisher,4.55,0,0,3,24th St Mission BART,7,Fisherman's Wharf,Pier 39
L0116,New York,Chelsea,Entire home,3,3.0,7,289,Hair dryer; Dishwasher; Smoke alarm; Heating; Workspace; EV charger; Pool; Dryer; Fire extinguisher; Kitchen; BBQ grill,4.88,1,0,2,Times Sq-42nd St,9,Statue of Liberty Ferry,High Line
L0117,Chicago,Gold Coast,Entire home,1,3.0,2,179,Free parking; Pet friendly; Carbon monoxide alarm; Dishwasher; Patio; Hot tub; TV; Gym access; Pool; Kitchen,4.86,0,1,1,Clark/Lake L,11,Lincoln Park Zoo,Chicago Riverwalk
L0118,Boston,South End,Entire home,2,1.0,4,227,Workspace; Pet friendly; BBQ grill; Hot tub; Air conditioning; Dishwasher; Smoke alarm; Dryer; Hair dryer; Fire extinguisher; Free parking,4.11,0,0,1,Back Bay Station,7,Fenway Park,Harvard Yard
L0119,San Francisco,Richmond District,Entire home,5,2.0,10,434,BBQ grill; Workspace; EV charger; Pool; Crib; TV; Air conditioning; Smoke alarm; Kitchen; Hot tub; Pet friendly; Fire extinguisher; Carbon monoxide alarm,3.85,0,0,7,Van Ness Muni,7,Palace of Fine Arts,Alcatraz Island Ferry
L0120,Miami,Little Havana,Entire home,1,2.0,3,183,Air conditioning; Smoke alarm; Dishwasher; Crib; BBQ grill; Iron,4.91,0,0,7,Civic Center Metrorail,13,South Beach,Everglades Day Trip
L0121,Chicago,Wicker Park,Entire home,4,2.5,9,254,Kitchen; Dryer; Hot tub; Smoke alarm; Washer; Patio; Pet friendly; EV charger; Iron; Hair dryer; Heating; WiFi,4.97,0,1,1,Merchandise Mart L,23,Museum of Science and Industry,Millennium Park
L0122,Miami,Design District,Entire home,3,2.0,6,219,Carbon monoxide alarm; Workspace; Coffee maker; Hair dryer; Kitchen; BBQ grill; Dryer; Air conditioning,4.83,1,0,1,Civic Center Metrorail,16,Perez Art Museum,Vizcaya Museum
L0123,Miami,South Beach,Entire home,3,1.0,7,270,Pool; Hair dryer; Workspace; Gym access; Fire extinguisher,4.95,1,1,1,Coconut Grove Metrorail,24,Jungle Island,Everglades Day Trip
L0124,Chicago,River North,Private room,1,2.0,1,106,Patio; Carbon monoxide alarm; Coffee maker; WiFi; Pet friendly; Workspace; Washer; Dryer; Gym access,4.57,0,1,2,Belmont L,8,Wrigley Field,Museum of Science and Industry
L0125,New York,Lower East Side,Entire home,5,2.5,11,358,Patio; Iron; Hot tub; BBQ grill; TV; Free parking; Washer; Coffee maker; Pool,4.93,1,1,2,Times Sq-42nd St,19,Chelsea Market,Museum of Modern Art
L0126,New York,Park Slope,Entire home,5,2.5,11,420,BBQ grill; Dishwasher; Patio; Workspace; Hair dryer; Coffee maker; TV; Dryer,4.1,0,1,3,Jay St-MetroTech,7,Times Square,Broadway Theater District
L0127,Boston,North End,Private room,1,2.0,2,137,TV; Fire extinguisher; Heating; Workspace; Kitchen; EV charger; Air conditioning; Patio; Free parking; Hot tub; Gym access; Iron; Coffee maker; Crib,4.98,1,1,3,Downtown Crossing,11,Boston Common,Faneuil Hall
L0128,Miami,Design District,Entire home,5,1.5,10,266,Free parking; Dryer; EV charger; Crib; Workspace; Air conditioning; Washer; Carbon monoxide alarm; Coffee maker,4.99,0,1,1,South Miami Metrorail,11,Jungle Island,Perez Art Museum
L0129,New York,Harlem,Private room,1,2.0,2,152,Dryer; Air conditioning; Kitchen; TV; Patio; Fire extinguisher; Coffee maker; Dishwasher; Iron,4.83,0,0,1,Columbus Circle,22,Brooklyn Bridge,Museum of Modern Art
L0130,Boston,Cambridge,Entire home,1,2.0,2,212,Smoke alarm; Patio; Hot tub; Dishwasher; Gym access,4.64,0,1,2,Park Street,14,Fenway Park,Boston Common
L0131,Boston,Cambridge,Entire home,3,1.0,7,277,Crib; Washer; Carbon monoxide alarm; Heating; Coffee maker; Patio; TV; EV charger; Gym access; Pool; Workspace; Dishwasher; BBQ grill; Pet friendly,4.84,1,0,1,Charles/MGH,25,Harvard Yard,Museum of Fine Arts
L0132,New York,East Village,Shared room,1,1.0,2,63,Coffee maker; Air conditioning; Heating; Hot tub; Pool; Fire extinguisher,4.87,1,0,1,Atlantic Ave-Barclays,8,Central Park,Brooklyn Bridge
L0133,New York,Midtown Manhattan,Private room,1,2.0,1,183,Pet friendly; Air conditioning; Hair dryer; Iron; Dryer; Heating; Smoke alarm; Dishwasher; Fire extinguisher,4.32,0,1,1,Atlantic Ave-Barclays,20,Rockefeller Center,Museum of Modern Art
L0134,Chicago,Gold Coast,Shared room,1,1.0,2,40,Hair dryer; Gym access; WiFi; Washer; Workspace; Crib; Heating; Carbon monoxide alarm; Fire extinguisher; BBQ grill; Kitchen,5.0,1,0,2,Jackson L,15,Millennium Park,Field Museum
L0135,Boston,Jamaica Plain,Entire home,3,2.0,6,222,WiFi; Patio; Dryer; Coffee maker; Workspace,4.9,1,1,1,Copley,21,Freedom Trail,Boston Public Garden
L0136,Miami,Midtown,Entire home,1,1.5,3,156,Pet friendly; Patio; WiFi; Heating; Smoke alarm; Carbon monoxide alarm; Kitchen; BBQ grill; Air conditioning; Gym access; TV; EV charger,4.97,0,1,2,Civic Center Metrorail,22,Key Biscayne Beach,Bayside Marketplace
L0137,Chicago,Old Town,Entire home,3,1.5,7,231,Hair dryer; Patio; TV; Dishwasher; Coffee maker; Pet friendly; Heating; Kitchen; Dryer; Pool,4.52,0,1,3,Fullerton L,19,Magnificent Mile,Art Institute of Chicago
L0138,New York,Chelsea,Entire home,4,2.5,8,351,Fire extinguisher; BBQ grill; EV charger; Coffee maker; Washer; Workspace; WiFi; Patio; Kitchen; Hot tub; Free parking; TV,4.92,1,1,2,Canal St,23,Brooklyn Bridge,Empire State Building
L0139,Chicago,River North,Entire home,2,1.5,5,242,TV; Crib; Dishwasher; Iron; BBQ grill; Free parking; EV charger; Gym access; Pet friendly; Patio; Dryer; Fire extinguisher; Air conditioning,4.99,0,1,5,Fullerton L,13,Museum of Science and Industry,Art Institute of Chicago
L0140,Miami,South Beach,Shared room,1,1.0,1,96,Kitchen; BBQ grill; Pet friendly; Free parking; Hot tub; Dryer; TV,4.89,0,1,3,Civic Center Metrorail,6,South Beach,Art Deco Historic District
L0141,Chicago,Logan Square,Private room,1,2.0,2,146,BBQ grill; Iron; Dishwasher; Kitchen; WiFi; Hot tub; Free parking; Fire extinguisher; Pool; Coffee maker; Crib,4.84,1,1,3,Roosevelt L,17,Lincoln Park Zoo,Willis Tower Skydeck
L0142,New York,Chelsea,Entire home,2,2.0,4,248,WiFi; Iron; Fire extinguisher; Washer; Kitchen; Patio; Crib; Gym access; TV,4.61,0,1,2,Canal St,18,Broadway Theater District,Statue of Liberty Ferry
L0143,Chicago,Logan Square,Entire home,2,2.5,5,194,Coffee maker; Workspace; Dishwasher; Patio; WiFi; Heating; Hair dryer; Fire extinguisher; Pool; Pet friendly; Iron; TV; Smoke alarm; EV charger,4.58,0,1,2,Clark/Lake L,16,Museum of Science and Industry,Chicago Riverwalk
L0144,Chicago,Gold Coast,Entire home,1,2.5,2,250,Heating; Dryer; Dishwasher; BBQ grill; WiFi; Air conditioning,4.98,1,0,3,Belmont L,15,Willis Tower Skydeck,Chicago Riverwalk
L0145,Boston,Back Bay,Entire home,3,1.0,6,245,Pool; Hot tub; Carbon monoxide alarm; Smoke alarm; Fire extinguisher; Patio; BBQ grill; Iron; WiFi; Free parking; Coffee maker; Kitchen; Crib; Workspace,4.82,1,0,1,Haymarket,4,Newbury Street,Fenway Park
L0146,Miami,Coral Gables,Entire home,3,1.0,6,246,Pet friendly; Smoke alarm; Dishwasher; TV; Washer; Patio; Hair dryer,4.91,1,1,1,Government Center Metrorail,13,Key Biscayne Beach,Vizcaya Museum
L0147,Chicago,Loop,Private room,1,1.0,1,115,Kitchen; Dishwasher; Fire extinguisher; Patio; Crib; Air conditioning; TV; EV charger; Hot tub; Pet friendly; Heating; Hair dryer; Gym access; Pool,4.54,0,1,3,Roosevelt L,10,Willis Tower Skydeck,Art Institute of Chicago
L0148,Boston,Seaport,Shared room,1,1.0,2,110,Dryer; WiFi; Iron; Pool; Patio; Carbon monoxide alarm; Hot tub; Hair dryer; Washer; BBQ grill; Coffee maker,4.84,0,1,5,Back Bay Station,21,Museum of Fine Arts,Boston Public Garden
L0149,Boston,Fenway-Kenmore,Entire home,4,1.0,8,386,EV charger; Smoke alarm; Pet friendly; Free parking; Kitchen; Dishwasher; Hot tub; Workspace; Washer; Dryer; Patio; Heating; TV; Coffee maker,4.97,0,1,3,Kenmore,12,Boston Public Garden,Freedom Trail
L0150,Boston,Jamaica Plain,Private room,1,1.0,1,90,Hair dryer; Kitchen; Pool; Workspace; BBQ grill; Air conditioning; Hot tub; Pet friendly; Gym access; WiFi; Iron; Heating,4.51,0,1,5,Charles/MGH,22,Harvard Yard,Museum of Fine Arts
L0151,San Francisco,North Beach,Shared room,1,1.0,1,58,Coffee maker; Hot tub; Smoke alarm; Pool; Pet friendly; BBQ grill,4.5,0,1,1,24th St Mission BART,19,Lombard Street,Oracle Park
L0152,San Francisco,Pacific Heights,Private room,1,1.0,1,148,BBQ grill; Pool; Carbon monoxide alarm; Iron; Heating; Workspace,4.83,1,0,5,Balboa Park BART,12,Ferry Building,Alcatraz Island Ferry
L0153,Boston,Back Bay,Private room,1,1.0,1,52,Pet friendly; BBQ grill; TV; Air conditioning; Free parking,4.96,1,1,1,Copley,14,Museum of Fine Arts,Boston Public Garden
L0154,San Francisco,Sunset District,Shared room,1,1.0,1,127,Washer; Heating; WiFi; Free parking; Coffee maker; Gym access; Carbon monoxide alarm; Pet friendly; Crib; Air conditioning; Pool,4.63,0,0,5,Van Ness Muni,14,Oracle Park,Ferry Building
L0155,Miami,Edgewater,Entire home,2,1.0,5,240,Hair dryer; EV charger; Crib; Heating; Carbon monoxide alarm; Washer; Hot tub; Workspace; Pool; Fire extinguisher; Gym access,4.65,0,0,2,Brickell Metrorail,9,Key Biscayne Beach,Perez Art Museum
L0156,Boston,North End,Entire home,2,1.0,5,170,Carbon monoxide alarm; EV charger; Hair dryer; Gym access; Hot tub; Smoke alarm; Free parking; Pet friendly; Workspace; Air conditioning; Dryer; Patio; Crib,4.16,0,1,2,Copley,8,MIT Campus,New England Aquarium
L0157,Boston,Beacon Hill,Private room,1,2.0,2,139,Dryer; Smoke alarm; Patio; WiFi; Air conditioning,4.92,0,1,3,Kenmore,12,Newbury Street,New England Aquarium
L0158,Chicago,Lakeview,Entire home,5,1.0,10,326,WiFi; Free parking; BBQ grill; Coffee maker; TV; Crib; Kitchen; Patio; Pool; Gym access; Air conditioning; Iron,4.58,0,1,2,Clark/Lake L,10,Millennium Park,Willis Tower Skydeck
L0159,New York,East Village,Shared room,1,1.0,2,63,Hot tub; Pool; Gym access; Free parking; Fire extinguisher; Smoke alarm; WiFi; Pet friendly; Dryer; Patio,4.99,0,1,3,Jay St-MetroTech,5,Times Square,Chelsea Market
L0160,Miami,Midtown,Entire home,3,2.0,7,281,WiFi; Workspace; Heating; Hot tub; Air conditioning; Smoke alarm; Pool; Dishwasher; Iron; Free parking; Dryer; Patio; EV charger; Pet friendly,4.52,0,1,1,Civic Center Metrorail,8,Wynwood Walls,Jungle Island
L0161,Chicago,Lakeview,Private room,1,2.0,1,127,Free parking; Pool; Pet friendly; Crib; Gym access; Hair dryer; Washer; Heating; Coffee maker,4.9,1,1,2,Chicago L (Red),15,Chicago Riverwalk,Millennium Park
L0162,Chicago,Lakeview,Entire home,1,2.0,2,232,Workspace; Dishwasher; Kitchen; Coffee maker; Hair dryer; Smoke alarm; Dryer; Fire extinguisher; Heating; Gym access; Hot tub,4.87,1,1,1,Merchandise Mart L,9,Millennium Park,Art Institute of Chicago
L0163,Miami,Midtown,Entire home,2,1.5,4,235,Hot tub; Fire extinguisher; Dryer; EV charger; Washer; Patio; Pool; Heating; Pet friendly; Smoke alarm; Coffee maker,4.38,0,1,1,Wynwood Trolley Stop,11,Perez Art Museum,Bayside Marketplace
L0164,Chicago,Pilsen,Entire home,2,1.5,5,200,Kitchen; Smoke alarm; Heating; Dryer; Pet friendly; Free parking; Hot tub; Workspace; BBQ grill; Pool; Hair dryer; Patio; Washer; Crib,4.05,0,1,7,Roosevelt L,14,Wrigley Field,Magnificent Mile
L0165,San Francisco,Marina District,Entire home,3,1.5,7,306,Dryer; Patio; Iron; Carbon monoxide alarm; Gym access; EV charger; Smoke alarm,4.64,0,1,3,16th St Mission BART,4,Lombard Street,Chinatown
L0166,San Francisco,North Beach,Shared room,1,1.0,2,105,WiFi; Washer; Pool; Hot tub; Air conditioning; Free parking; Dryer,4.01,0,1,3,Glen Park BART,5,Fisherman's Wharf,Oracle Park
L0167,New York,Chelsea,Entire home,1,2.0,3,262,Kitchen; BBQ grill; Hair dryer; Iron; Workspace,4.91,1,1,2,Canal St,25,Broadway Theater District,High Line
L0168,Chicago,Lakeview,Entire home,2,1.0,4,263,Carbon monoxide alarm; Hot tub; Washer; TV; WiFi; Gym access; Coffee maker; BBQ grill; Hair dryer; Dishwasher,4.92,1,1,2,Merchandise Mart L,13,Chicago Riverwalk,Lincoln Park Zoo
L0169,Chicago,Logan Square,Entire home,1,2.0,3,197,Coffee maker; Gym access; BBQ grill; Hot tub; TV; Dishwasher; Patio; Carbon monoxide alarm,4.85,1,0,1,Belmont L,21,Navy Pier,Willis Tower Skydeck
L0170,Chicago,Lincoln Park,Private room,1,1.0,2,117,Pet friendly; WiFi; Pool; Air conditioning; Washer; Crib; Workspace; Free parking; Iron; Coffee maker; Gym access; Smoke alarm,4.81,1,1,1,Merchandise Mart L,25,Chicago Riverwalk,Millennium Park
L0171,San Francisco,Nob Hill,Entire home,1,2.0,2,228,Free parking; Fire extinguisher; Pet friendly; Heating; Coffee maker,4.29,0,1,3,Embarcadero BART,12,Golden Gate Park,Pier 39
L0172,Boston,North End,Entire home,4,1.0,8,279,Iron; WiFi; Dryer; Hot tub; EV charger; Heating; Smoke alarm; Pool; Crib; Workspace; TV,4.6,0,0,1,Copley,16,Boston Common,New England Aquarium
L0173,Boston,Charlestown,Entire home,1,1.0,3,185,Hair dryer; Washer; Hot tub; Kitchen; Workspace; Fire extinguisher; Dishwasher; TV; Gym access; Heating; Coffee maker,4.33,0,1,2,Kenmore,13,Harvard Yard,Boston Public Garden
L0174,San Francisco,Richmond District,Entire home,2,2.0,5,271,Gym access; Hair dryer; Pool; Iron; Pet friendly,4.65,0,1,3,16th St Mission BART,15,Oracle Park,Pier 39
L0175,New York,East Village,Shared room,1,1.0,1,97,Free parking; Heating; Workspace; Kitchen; EV charger,4.8,0,0,2,Columbus Circle,15,Broadway Theater District,High Line
L0176,New York,Upper West Side,Shared room,1,1.0,2,96,Gym access; Hot tub; Coffee maker; Kitchen; Pet friendly,4.04,0,1,2,Grand Central,20,Times Square,High Line
L0177,Boston,Charlestown,Entire home,2,2.0,5,236,Dryer; Pet friendly; Dishwasher; Smoke alarm; Coffee maker; Iron,5.0,1,1,5,Kenmore,13,Newbury Street,Museum of Fine Arts
L0178,San Francisco,North Beach,Private room,1,2.0,1,90,Pet friendly; Hot tub; Hair dryer; Fire extinguisher; Patio; Smoke alarm; WiFi; Kitchen; TV; Workspace; Dishwasher; Crib; Air conditioning,4.66,0,1,1,Montgomery St BART,2,Chinatown,Golden Gate Park
L0179,Miami,Design District,Private room,1,1.0,2,97,Air conditioning; EV charger; Smoke alarm; Crib; Free parking; Pet friendly; Iron; Workspace; Dryer,4.12,0,0,7,Dadeland South Metrorail,20,Everglades Day Trip,Wynwood Walls
L0180,San Francisco,Marina District,Entire home,2,2.5,4,254,WiFi; Patio; Crib; Smoke alarm; Kitchen; TV; Coffee maker; Gym access; Iron; Hot tub; EV charger; Air conditioning; Dryer; Fire extinguisher,4.89,1,1,1,Embarcadero BART,7,Pier 39,Oracle Park
L0181,Chicago,Lincoln Park,Shared room,1,1.0,2,50,Washer; Workspace; Dishwasher; Free parking; Crib; Smoke alarm; Patio,4.94,1,1,2,Western L (Blue),14,Lincoln Park Zoo,Willis Tower Skydeck
L0182,San Francisco,Pacific Heights,Entire home,2,2.0,5,249,Gym access; Fire extinguisher; Pet friendly; Washer; Crib; Kitchen; Pool; Free parking; Hair dryer; Air conditioning,3.85,0,0,2,16th St Mission BART,5,Golden Gate Bridge,Golden Gate Park
L0183,Miami,South Beach,Entire home,1,2.0,2,201,Pet friendly; Washer; BBQ grill; WiFi; Smoke alarm; EV charger; Coffee maker; Kitchen; Hot tub; Air conditioning; Patio; Crib; Heating; TV,4.93,1,1,1,Civic Center Metrorail,3,South Beach,Vizcaya Museum
L0184,Miami,Edgewater,Entire home,1,1.5,2,152,Fire extinguisher; Dishwasher; WiFi; Kitchen; Pool; Coffee maker; TV; Iron; Workspace; Free parking; Hair dryer; Air conditioning; BBQ grill,4.96,0,0,7,Douglas Road Metrorail,16,Art Deco Historic District,Little Havana Walk
L0185,San Francisco,Pacific Heights,Private room,1,1.0,2,154,Patio; BBQ grill; Pool; Carbon monoxide alarm; Crib; EV charger; Washer; Pet friendly; TV; Fire extinguisher; Workspace; Dryer; Gym access; Hot tub,4.94,0,1,7,Civic Center BART,8,Alcatraz Island Ferry,Ferry Building
L0186,Boston,Seaport,Private room,1,1.0,1,134,Dryer; Iron; Washer; WiFi; Crib; Carbon monoxide alarm,4.95,1,1,2,North Station,9,MIT Campus,Boston Common
L0187,Boston,Back Bay,Entire home,1,2.0,2,157,Dryer; Smoke alarm; Workspace; BBQ grill; Washer; Pet friendly; Free parking; Pool; Kitchen; Dishwasher,4.81,0,1,3,Park Street,23,New England Aquarium,Faneuil Hall
L0188,Miami,Little Havana,Entire home,2,1.0,5,224,Gym access; EV charger; Pet friendly; Dishwasher; Coffee maker; Kitchen; BBQ grill; Heating; Fire extinguisher; Pool; Carbon monoxide alarm,4.88,0,1,1,Government Center Metrorail,21,Bayside Marketplace,Everglades Day Trip
L0189,Miami,Coconut Grove,Entire home,2,1.5,4,278,Air conditioning; Coffee maker; Heating; Dryer; EV charger; Dishwasher; Washer; Smoke alarm; Carbon monoxide alarm; Patio; Pool; WiFi,4.13,0,0,1,Coconut Grove Metrorail,12,Bayside Marketplace,Key Biscayne Beach
L0190,Miami,Design District,Entire home,2,1.5,4,213,Kitchen; Dryer; Iron; EV charger; Washer; Crib; Gym access; Patio; Pet friendly; Free parking; Dishwasher,4.84,1,1,2,Civic Center Metrorail,16,Jungle Island,Little Havana Walk
L0191,Miami,Edgewater,Entire home,3,1.5,6,257,Gym access; Pet friendly; WiFi; Pool; Dishwasher; Hot tub,3.17,0,1,2,Adrienne Arsht Metromover,15,Bayside Marketplace,South Beach
L0192,New York,Midtown Manhattan,Entire home,2,1.0,5,271,EV charger; Dishwasher; Dryer; Fire extinguisher; Pet friendly; Hair dryer; Kitchen; Air conditioning; TV; BBQ grill; Patio; Free parking; Crib; Smoke alarm,4.57,0,1,3,Jay St-MetroTech,4,Rockefeller Center,Brooklyn Bridge
L0193,New York,Park Slope,Entire home,5,2.0,10,351,Carbon monoxide alarm; Gym access; Iron; Hot tub; Coffee maker; EV charger; Hair dryer; Washer; Workspace,4.35,0,0,1,Jay St-MetroTech,16,Rockefeller Center,Broadway Theater District
L0194,New York,Harlem,Shared room,1,1.0,2,40,Hair dryer; Dishwasher; Patio; Free parking; WiFi; BBQ grill; TV; Hot tub; Air conditioning; Washer,4.91,0,1,2,Atlantic Ave-Barclays,13,Statue of Liberty Ferry,Central Park
L0195,San Francisco,Sunset District,Entire home,3,2.0,7,200,Fire extinguisher; Carbon monoxide alarm; Kitchen; Coffee maker; TV; EV charger; Iron; WiFi; Free parking; Gym access,5.0,0,1,1,24th St Mission BART,19,Lombard Street,Fisherman's Wharf
L0196,New York,Astoria,Entire home,4,2.0,9,344,Pool; Hair dryer; Fire extinguisher; TV; Free parking; Coffee maker; Patio; Dryer; Heating; EV charger; Smoke alarm; WiFi,4.84,0,1,3,Penn Station,23,Rockefeller Center,Chelsea Market
L0197,Boston,Beacon Hill,Shared room,1,1.0,1,106,Heating; WiFi; TV; Kitchen; Gym access; Air conditioning; Iron; Fire extinguisher; Patio; Workspace; Hot tub; Smoke alarm; Dishwasher,4.56,0,0,1,Downtown Crossing,2,MIT Campus,Faneuil Hall
L0198,Boston,Fenway-Kenmore,Entire home,1,2.0,2,192,Dishwasher; Iron; Hot tub; Washer; TV; EV charger; Pool; Dryer; Air conditioning; Patio,4.68,0,0,2,Haymarket,22,Boston Public Garden,Museum of Fine Arts
L0199,Boston,Seaport,Shared room,1,1.0,2,68,Air conditioning; Fire extinguisher; EV charger; Washer; Pet friendly; Crib; Heating; BBQ grill; TV; Iron; Coffee maker; Hair dryer; Pool,4.88,0,1,2,Copley,8,Faneuil Hall,Boston Common
L0200,New York,East Village,Entire home,1,1.5,2,264,Gym access; EV charger; Washer; Coffee maker; Heating; Smoke alarm; Pet friendly; Iron; Air conditioning; Crib,4.1,0,1,5,Atlantic Ave-Barclays,13,Museum of Modern Art,Rockefeller Center
L0201,Chicago,Logan Square,Entire home,2,1.5,4,181,Workspace; Heating; EV charger; Gym access; Fire extinguisher; Iron; Dishwasher; Crib; Patio; Air conditioning; Washer; Free parking; Kitchen; TV,4.26,0,0,3,Chicago L (Red),16,Field Museum,Magnificent Mile
L0202,Boston,Jamaica Plain,Shared room,1,1.0,2,40,Fire extinguisher; Free parking; Crib; Iron; TV; EV charger; Gym access; Carbon monoxide alarm; Hair dryer; Kitchen; Dishwasher; WiFi; Coffee maker; Hot tub,4.94,1,1,5,North Station,20,MIT Campus,Fenway Park
L0203,Boston,Allston,Entire home,2,2.0,5,210,Workspace; Washer; Free parking; Dishwasher; Smoke alarm; Hair dryer; Carbon monoxide alarm,4.98,0,1,1,Kenmore,9,Boston Common,Faneuil Hall
L0204,Miami,Downtown Miami,Entire home,3,1.5,6,284,Dishwasher; Fire extinguisher; Smoke alarm; Hair dryer; Pool; Dryer; Carbon monoxide alarm; WiFi; Workspace; Pet friendly; Patio,4.51,0,1,1,Vizcaya Metrorail,16,Little Havana Walk,Jungle Island
L0205,Miami,Wynwood,Private room,1,2.0,2,174,Pool; Workspace; Patio; Air conditioning; Dishwasher; EV charger,4.89,1,1,1,Civic Center Metrorail,14,Art Deco Historic District,Everglades Day Trip
L0206,New York,Park Slope,Entire home,2,2.0,5,263,EV charger; Dryer; Pet friendly; Kitchen; TV; WiFi; Gym access; Workspace; Air conditioning; Coffee maker; Hot tub; Patio,4.92,0,1,2,Atlantic Ave-Barclays,8,Chelsea Market,High Line
L0207,Boston,Fenway-Kenmore,Entire home,1,1.0,2,204,Workspace; Carbon monoxide alarm; Smoke alarm; Pool; Fire extinguisher; Dryer; Free parking,4.52,0,1,2,Haymarket,16,Harvard Yard,Fenway Park
L0208,Chicago,River North,Entire home,3,1.5,7,241,WiFi; TV; Fire extinguisher; Smoke alarm; Iron; Coffee maker; Kitchen; Heating; Hair dryer; Carbon monoxide alarm; Free parking,4.55,0,1,3,Grand L (Red),23,Wrigley Field,Magnificent Mile
L0209,Chicago,River North,Shared room,1,1.0,2,114,BBQ grill; WiFi; Air conditioning; Carbon monoxide alarm; Heating,4.11,0,1,7,Western L (Blue),5,Chicago Riverwalk,Museum of Science and Industry
L0210,New York,East Village,Entire home,4,1.0,8,386,Hot tub; TV; Fire extinguisher; Air conditioning; BBQ grill; Pet friendly; Carbon monoxide alarm,4.81,1,1,1,14th St-Union Sq,8,Times Square,Statue of Liberty Ferry
L0211,Boston,Seaport,Entire home,1,1.5,2,158,Fire extinguisher; Crib; Hot tub; Heating; Kitchen; Air conditioning,3.02,0,1,1,Harvard,14,MIT Campus,Boston Public Garden
L0212,San Francisco,Nob Hill,Shared room,1,1.0,1,108,Workspace; Carbon monoxide alarm; Smoke alarm; Air conditioning; Dishwasher; Pool; WiFi; BBQ grill; Pet friendly; Kitchen; TV; Hot tub,4.87,1,1,3,24th St Mission BART,10,Golden Gate Park,Palace of Fine Arts
L0213,San Francisco,Pacific Heights,Private room,1,2.0,1,125,Heating; Patio; Hair dryer; Workspace; Air conditioning; Fire extinguisher; Free parking; Washer; Kitchen; Pet friendly; WiFi,4.99,0,0,1,Van Ness Muni,8,Pier 39,Fisherman's Wharf
L0214,New York,Upper West Side,Entire home,1,1.0,3,211,Washer; EV charger; Pool; Air conditioning; Kitchen; Pet friendly; Workspace; WiFi; Dishwasher; Fire extinguisher; TV; Coffee maker; Heating,4.04,0,0,1,Union Square,2,Central Park,Statue of Liberty Ferry
L0215,Chicago,Old Town,Private room,1,1.0,1,142,Iron; Heating; BBQ grill; EV charger; Dishwasher; Washer; Pet friendly; Free parking; Kitchen; TV; Air conditioning,4.57,0,0,1,Roosevelt L,4,Wrigley Field,Navy Pier
L0216,Chicago,Logan Square,Private room,1,1.0,2,40,Dryer; Air conditioning; Crib; Patio; EV charger,4.88,0,0,2,Jackson L,11,Chicago Riverwalk,Navy Pier
L0217,Miami,Midtown,Entire home,3,2.0,7,254,Heating; Gym access; Hair dryer; Dishwasher; Coffee maker; Pool; Fire extinguisher; Free parking; Hot tub; WiFi; Pet friendly; Kitchen; Air conditioning,4.85,0,1,1,Dadeland South Metrorail,12,Vizcaya Museum,South Beach
L0218,New York,Lower East Side,Private room,1,1.0,1,122,Air conditioning; Pool; Fire extinguisher; EV charger; Patio; Iron,4.95,1,1,1,Columbus Circle,7,Statue of Liberty Ferry,Empire State Building
L0219,Chicago,Gold Coast,Entire home,4,1.0,9,243,Patio; Hair dryer; Hot tub; Free parking; Iron; Washer; Kitchen; Dishwasher,4.3,0,1,2,Jackson L,6,Chicago Riverwalk,Lincoln Park Zoo
L0220,Chicago,River North,Entire home,2,2.0,4,254,Hot tub; WiFi; Carbon monoxide alarm; Pool; Patio; Iron; BBQ grill; Gym access; Washer; Fire extinguisher; TV; Crib,4.88,0,0,2,Addison L,25,Millennium Park,Lincoln Park Zoo
L0221,Boston,Beacon Hill,Shared room,1,1.0,1,74,TV; Pool; Patio; Air conditioning; WiFi; Workspace; Pet friendly; Dryer; Fire extinguisher; Carbon monoxide alarm,4.84,0,0,5,Haymarket,17,Fenway Park,Boston Public Garden
L0222,New York,Chelsea,Entire home,2,1.0,5,286,Dishwasher; EV charger; Free parking; Air conditioning; Gym access; Iron; Kitchen; Coffee maker; Hair dryer; Fire extinguisher; WiFi; Pet friendly; BBQ grill; Dryer,4.51,0,1,1,Canal St,15,Statue of Liberty Ferry,Museum of Modern Art
L0223,New York,SoHo,Entire home,4,2.0,8,372,Coffee maker; BBQ grill; Carbon monoxide alarm; Hot tub; Kitchen; Air conditioning; Hair dryer; Dishwasher; Fire extinguisher,4.86,0,0,1,Canal St,13,Times Square,Broadway Theater District
